,ID,medv
0,3,2.896016124635935
1,6,-2.35688648885116
2,8,-29.18627228785772
3,9,-40.92222713807132
4,10,-24.70078767160885
5,18,-21.051998373004608
6,20,-13.906755501171574
7,25,-28.604835198959336
8,26,-27.99880558985751
9,27,-27.05862290703226
10,29,-23.57689995423425
11,30,-18.425189388915896
12,33,-31.468903592787683
13,34,-31.500586510752328
14,36,-9.78485777194146
15,37,-8.287547653308138
16,38,2.9941967038903385
17,42,28.355263193137944
18,49,-40.942956723622046
19,53,17.703522264258936
20,60,-1.61843819799833
21,63,-7.705074599129148
22,70,4.736595057533123
23,72,13.26339320326224
24,79,-4.601491940789856
25,80,4.5006127572851256
26,83,10.799217569408938
27,92,-8.929138536914252
28,93,2.973088107770309
29,96,0.16369579767342657
30,98,1.4648110028356314
31,99,19.873256917577237
32,100,3.2868147656554356
33,105,-21.138619202771224
34,106,-28.386243042419665
35,111,-3.9702995693078265
36,113,-25.510169207700528
37,114,-26.42548030859325
38,116,-23.776111073908396
39,126,-19.751678651373368
40,130,-29.397867123945616
41,131,-23.56549795321189
42,133,-23.065744658582844
43,136,-26.4986247405177
44,141,-28.962207256117836
45,144,-35.37389041809365
46,145,-39.13267896929756
47,147,-32.62938055343693
48,152,-29.07957575994078
49,153,-20.145279341028072
50,156,-17.108701247663703
51,158,-13.442563986638561
52,163,-2.5746896548662335
53,169,-21.5895205513807
54,185,-24.11781647906173
55,186,-10.371569200186059
56,189,16.71700361103285
57,196,25.274409031728283
58,197,18.21894849347882
59,199,14.4672259259969
60,200,24.055309692048468
61,203,30.27290872624144
62,208,-18.649901477620006
63,210,-32.63686045398936
64,211,-21.78177880786825
65,213,-2.6118001195136458
66,216,4.345555217703804
67,218,-12.977313817827962
68,219,-21.018329186015762
69,220,-14.069264947785996
70,221,-8.43809448077809
71,229,29.610125724459067
72,232,-2.9838156671030447
73,238,-0.6145322754746303
74,239,18.76494989648927
75,240,7.129959114128724
76,242,-10.176091358531266
77,246,-22.005005956511013
78,248,-18.349295809632167
79,253,25.159359386656433
80,255,7.974593276507221
81,256,11.537008121609688
82,257,20.991762712365016
83,258,3.401095407898538
84,259,-12.78886444226373
85,260,-15.056449101539329
86,268,8.964424775214866
87,270,-3.7987067685462534
88,271,0.8148653312819079
89,276,13.39145821868442
90,277,14.666856634430587
91,278,23.926334651070647
92,279,14.244330849032849
93,281,7.235877856204752
94,288,10.468530340935104
95,290,14.876283908030018
96,292,22.531093643512577
97,295,2.1974539631046355
98,296,13.580607797834091
99,299,17.44917672732845
100,300,26.67560204968322
101,301,6.573812106042169
102,308,-2.055257312953472
103,314,-13.958150225342251
104,315,-15.615148680633865
105,320,-6.449818452587351
106,322,0.027657291619107127
107,323,-0.3817825017031282
108,324,-16.955566626158543
109,327,11.83370272628963
110,330,16.18474156060256
111,332,5.00704947730992
112,333,11.59829286322929
113,336,5.915271219913848
114,338,-8.576785946264863
115,346,-5.9088662875583395
116,347,-10.09209623443894
117,351,1.9251959511311725
118,352,5.56045967375394
119,354,9.16459067282267
120,355,6.484379361150786
121,356,10.59931216109544
122,362,-21.935198339284398
123,364,-18.77491696504876
124,365,6.9661422818899155
125,370,-10.064780101296492
126,376,-16.988814198412
127,379,-27.658827373641543
128,380,-29.332730796886608
129,381,-18.8832284983946
130,382,-26.69372340955306
131,386,-39.162320432951674
132,389,-42.834562221192755
133,391,-28.50534523872193
134,394,-22.22945795825217
135,396,-24.896112322923727
136,398,-30.62893598806113
137,400,-26.24305344338063
138,403,-27.948881072807126
139,405,-30.86988863069564
140,406,-33.770372113678604
141,407,-42.403361287899315
142,410,-28.14183216658421
143,411,-31.9485895014368
144,412,-32.61696136929095
145,413,-52.203025876078755
146,417,-30.614624543231912
147,421,-26.02723247150425
148,422,-26.368864706833847
149,423,-24.118577007437125
150,424,-30.61839898879407
151,427,-14.583132799132727
152,431,-25.012828510371037
153,436,-30.80166705069132
154,437,-29.322800896014087
155,439,-38.18356735142879
156,447,-26.493335803505033
157,450,-28.236847557593137
158,451,-27.666268506727647
159,455,-29.384617922944017
160,457,-30.766665505070705
161,471,-19.900832361308858
162,474,-4.201277544721961
163,476,-31.971169215627015
164,483,-6.177142474683933
165,486,-0.8271043800050393
166,490,-37.90790464577731
167,495,1.0798852875595912
168,496,3.6262448130873963
169,497,-22.023189482977614
170,499,-9.349185944767669
171,501,-17.418350763851777
172,505,-13.218583113281056
